PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2001,41,-90,2.13,2.99,1.08,2.83,4.76,2.83,2.57,2.5,3.25,4.07,1.62,1.07,2.64
PRECTOTCORR,2002,39.5,-88.125,2.22,1.63,3.37,5.09,8.25,2.96,1.6,2.27,1.89,2.23,1.06,1.83,2.88
PRECTOTCORR,2002,39.5,-88.75,2.24,1.61,3.16,5.23,8.22,3.36,1.6,2.48,1.89,2.27,0.9,1.7,2.9
PRECTOTCORR,2002,39.5,-89.375,2.3,1.54,2.86,4.97,7.47,3.81,2.03,3.26,2.01,2.54,0.74,1.66,2.94
PRECTOTCORR,2002,39.5,-90,2.3,1.27,2.39,4.54,6.87,3.67,2.21,3.83,1.73,2.73,0.65,1.65,2.83
PRECTOTCORR,2002,40,-88.125,2.25,1.91,2.9,4.7,6.64,2.9,2.34,3.54,1.59,2.24,1.02,1.65,2.82
PRECTOTCORR,2002,40,-88.75,2.35,1.8,2.23,5.24,6.59,3.71,3.08,4.26,1.66,2.37,0.66,1.48,2.96
PRECTOTCORR,2002,40,-89.375,2.34,1.71,2.18,5.13,6.46,3.75,3.02,4.24,1.61,2.36,0.65,1.51,2.92
PRECTOTCORR,2002,40,-90,2.27,1.26,1.78,4.75,6.06,3.84,2.89,4.14,1.25,2.28,0.56,1.58,2.74
PRECTOTCORR,2002,40.5,-88.125,2.19,1.79,2.5,3.93,4.84,2.96,2.65,4.15,1.34,1.92,1,1.4,2.56
PRECTOTCORR,2002,40.5,-88.75,2.23,1.59,2.03,4.39,5.17,3.43,2.9,4.31,1.11,1.91,0.69,1.35,2.6
PRECTOTCORR,2002,40.5,-89.375,2.21,1.58,2.14,4.07,4.93,3.45,2.66,4.26,1.2,1.91,0.77,1.48,2.57
PRECTOTCORR,2002,40.5,-90,2.08,1.09,1.51,4.25,5.15,3.94,3.1,4.2,0.82,1.81,0.5,1.4,2.5
PRECTOTCORR,2002,41,-88.125,2,1.4,2.17,3.62,4.02,2.78,2.34,3.53,1.28,1.65,0.96,1.12,2.25
PRECTOTCORR,2002,41,-88.75,1.86,1.24,1.86,3.75,4.34,3.68,2.08,3.91,0.98,1.75,0.62,1.11,2.27
PRECTOTCORR,2002,41,-89.375,1.89,1.16,1.82,3.77,4.22,3.45,2.16,3.78,1.01,1.61,0.64,1.05,2.22
PRECTOTCORR,2002,41,-90,1.7,1.05,1.58,3.78,4.65,4.02,2.61,4.23,0.79,1.78,0.44,1.15,2.33
PRECTOTCORR,2003,39.5,-88.125,0.54,1.58,1.67,2.09,4.55,2.8,4.36,3.8,3.72,1.72,3.94,2.38,2.77
PRECTOTCORR,2003,39.5,-88.75,0.5,1.46,1.77,2.19,4.42,2.96,3.92,3.68,3.35,1.75,4.05,2.18,2.69
PRECTOTCORR,2003,39.5,-89.375,0.5,1.42,1.81,2.59,3.88,3.39,3.79,3.66,3.05,1.69,3.9,1.91,2.64
PRECTOTCORR,2003,39.5,-90,0.57,1.5,2.03,3.05,3.6,3.91,3.6,3.14,3.08,1.8,3.65,1.78,2.64
PRECTOTCORR,2003,40,-88.125,0.65,1.26,1.44,2.17,4,2.78,5.4,4.14,3.3,1.47,3.77,2.24,2.73
PRECTOTCORR,2003,40,-88.75,0.6,1.26,1.74,2.76,3.38,3.38,4.95,3.8,2.47,1.6,3.63,1.6,2.6
PRECTOTCORR,2003,40,-89.375,0.61,1.25,1.76,2.84,3.32,3.43,4.86,3.75,2.52,1.61,3.58,1.62,2.6
PRECTOTCORR,2003,40,-90,0.66,1.26,1.92,3.25,3.03,3.64,4.5,3.39,2.84,1.66,3.19,1.78,2.6
PRECTOTCORR,2003,40.5,-88.125,0.64,0.95,1.35,2.44,3.79,2.68,6.03,3.77,2.71,1.48,3.66,1.91,2.63
PRECTOTCORR,2003,40.5,-88.75,0.58,0.99,1.6,2.73,3.44,3.17,5.33,3.19,2.08,1.49,3.46,1.61,2.48
PRECTOTCORR,2003,40.5,-89.375,0.61,0.95,1.56,2.69,3.37,3.09,5.36,3.42,2.16,1.47,3.48,1.71,2.5
PRECTOTCORR,2003,40.5,-90,0.61,0.96,1.59,3.16,2.82,3.45,4.64,3.18,2.43,1.52,2.93,2.05,2.45
PRECTOTCORR,2003,41,-88.125,0.54,0.62,1.35,2.68,3.92,2.4,6.19,2.84,2.21,1.6,3.73,1.62,2.49
PRECTOTCORR,2003,41,-88.75,0.45,0.62,1.45,2.74,3.74,2.58,4.91,2.46,1.8,1.51,3.46,1.81,2.3
PRECTOTCORR,2003,41,-89.375,0.46,0.62,1.49,2.77,3.7,2.62,5.03,2.42,1.83,1.52,3.46,1.67,2.31
PRECTOTCORR,2003,41,-90,0.38,0.64,1.33,3.12,3.45,2.85,4.21,2.46,1.99,1.48,3.13,2.3,2.29
PRECTOTCORR,2004,39.5,-88.125,3.15,0.53,4.15,1.44,5.33,2.36,4.31,3.95,0.37,4.42,4.77,1.46,3.04
PRECTOTCORR,2004,39.5,-88.75,2.93,0.54,4.02,1.42,5.35,2.34,4.08,3.99,0.25,4.48,4.69,1.42,2.98
PRECTOTCORR,2004,39.5,-89.375,2.49,0.61,3.7,1.62,5.34,2.42,3.96,3.55,0.25,4.57,4.66,1.42,2.9
PRECTOTCORR,2004,39.5,-90,2.1,0.62,3.38,1.9,4.8,2.18,3.59,3.55,0.35,4.43,4.38,1.32,2.73
PRECTOTCORR,2004,40,-88.125,2.14,0.48,4.11,1.53,4.79,3.3,3.98,4.07,0.5,3.78,4.39,1.38,2.89
PRECTOTCORR,2004,40,-88.75,1.45,0.45,3.47,1.71,4.94,2.74,3.48,3.76,0.47,4.6,4.36,1.12,2.73
PRECTOTCORR,2004,40,-89.375,1.41,0.46,3.42,1.73,4.85,2.73,3.42,3.76,0.48,4.53,4.27,1.14,2.7
PRECTOTCORR,2004,40,-90,1.18,0.49,3.05,1.82,4.36,2.44,3.02,3.94,0.6,4.4,3.81,1.15,2.54
PRECTOTCORR,2004,40.5,-88.125,1.33,0.48,3.81,1.58,4.92,3.54,3.49,4.65,0.67,3.04,4.12,1.33,2.76
PRECTOTCORR,2004,40.5,-88.75,0.95,0.43,3.23,1.72,5.22,2.67,2.99,3.97,0.83,3.82,4.08,1.15,2.6
PRECTOTCORR,2004,40.5,-89.375,0.95,0.43,3.38,1.69,5.28,2.9,3.25,4.14,0.76,3.49,3.92,1.18,2.63
PRECTOTCORR,2004,40.5,-90,0.65,0.45,2.69,1.59,4.63,2.36,2.64,4.05,1.03,4.26,3.36,1.1,2.41
PRECTOTCORR,2004,41,-88.125,0.84,0.52,3.42,1.55,4.93,3.33,2.77,5.45,0.67,2.57,3.91,1.26,2.62
PRECTOTCORR,2004,41,-88.75,0.71,0.51,3.12,1.68,5.43,2.43,2.59,4.35,0.86,3.16,3.74,1.06,2.48
PRECTOTCORR,2004,41,-89.375,0.68,0.52,3.06,1.67,5.25,2.34,2.46,4.6,0.86,3.07,3.72,1.06,2.45
PRECTOTCORR,2004,41,-90,0.7,0.49,2.66,1.55,5.12,2.05,2.42,4.04,1.09,3.82,3.27,0.99,2.36
PRECTOTCORR,2005,39.5,-88.125,6.31,1.87,1.17,2.1,1.73,1.86,2.74,2.95,3.51,2.07,2.6,1.4,2.53
PRECTOTCORR,2005,39.5,-88.75,6.07,1.84,1.25,1.93,1.61,1.81,2.72,2.71,3.43,2.22,2.54,1.34,2.46
PRECTOTCORR,2005,39.5,-89.375,5.86,1.82,1.23,1.82,1.49,1.89,2.76,2.46,3.41,2.28,2.58,1.18,2.4
PRECTOTCORR,2005,39.5,-90,5.45,1.78,1.05,1.74,1.18,1.74,2,2.48,3.17,2.14,2.53,1.01,2.19
PRECTOTCORR,2005,40,-88.125,5.46,1.68,1.09,2.21,1.38,1.87,3.31,2.72,3.69,2.11,2.29,1.27,2.43
PRECTOTCORR,2005,40,-88.75,5.05,1.63,1.03,1.71,1.49,1.48,2.65,2.5,3.04,2.02,2.7,1.2,2.21
PRECTOTCORR,2005,40,-89.375,4.96,1.63,1.03,1.76,1.43,1.46,2.56,2.49,3.03,2,2.65,1.18,2.19
PRECTOTCORR,2005,40,-90,4.43,1.63,0.94,1.96,1.19,1.3,1.84,2.52,2.81,1.84,2.42,1.07,2
PRECTOTCORR,2005,40.5,-88.125,4.82,1.59,1.01,2.18,1.07,1.75,3.74,2.5,3.5,1.76,2.17,1.07,2.27
PRECTOTCORR,2005,40.5,-88.75,4.31,1.54,0.93,1.82,1.06,1.27,2.5,2.43,2.86,1.46,2.43,1.07,1.98
PRECTOTCORR,2005,40.5,-89.375,4.35,1.5,1,2.05,0.98,1.32,2.92,2.48,3.23,1.5,2.37,1.02,2.06
PRECTOTCORR,2005,40.5,-90,3.61,1.5,0.88,2.17,1.08,1.09,1.77,2.36,2.78,1.36,2.16,0.98,1.81
PRECTOTCORR,2005,41,-88.125,4.28,1.64,1,1.95,1.21,1.58,3.6,2.39,2.84,1.33,1.98,1.02,2.07
PRECTOTCORR,2005,41,-88.75,3.65,1.49,0.96,1.77,1.03,1.24,2.51,2.32,2.56,0.93,2.1,0.91,1.79
PRECTOTCORR,2005,41,-89.375,3.68,1.53,0.97,1.76,1.06,1.19,2.54,2.27,2.49,0.91,2.09,0.94,1.79
PRECTOTCORR,2005,41,-90,3.05,1.33,0.88,1.84,1.1,1.19,1.84,2.14,2.51,0.95,1.96,0.8,1.63
PRECTOTCORR,2006,39.5,-88.125,1.92,0.73,4.32,4.09,3.54,2.65,3.3,3.23,1.9,3.29,2.83,3.46,2.96
PRECTOTCORR,2006,39.5,-88.75,1.83,0.62,3.97,3.85,3.16,2.35,3.1,3.33,1.68,3.17,2.69,3.19,2.76
PRECTOTCORR,2006,39.5,-89.375,1.62,0.47,3.3,3.25,2.62,2.28,2.8,3.5,2.01,3.03,2.85,2.7,2.55
PRECTOTCORR,2006,39.5,-90,1.65,0.33,3.02,2.66,2.24,2.26,2.54,3.39,2.31,2.61,3.25,2.14,2.38
PRECTOTCORR,2006,40,-88.125,1.75,0.66,3.28,4.29,3.08,2.19,4.3,3.18,1.94,2.99,2.77,3.33,2.83
PRECTOTCORR,2006,40,-88.75,1.8,0.43,2.82,4.16,2.01,1.88,3.71,3.41,2.05,2.65,3.15,2.62,2.57
PRECTOTCORR,2006,40,-89.375,1.81,0.41,2.8,4,2.01,1.92,3.62,3.37,2.12,2.63,3.16,2.53,2.55
PRECTOTCORR,2006,40,-90,1.95,0.32,2.87,3.29,1.95,2.09,3.03,3.11,2.34,2.37,3.32,2.03,2.4
PRECTOTCORR,2006,40.5,-88.125,1.77,0.69,2.6,4.18,3.04,1.94,4.56,3.38,2.73,2.86,2.71,3.06,2.81
PRECTOTCORR,2006,40.5,-88.75,2.18,0.55,2.5,4.42,2.11,1.75,3.72,3.66,2.23,2.42,3.17,2.5,2.61
PRECTOTCORR,2006,40.5,-89.375,2,0.55,2.43,4.29,2.28,1.8,4.1,3.43,2.57,2.49,2.95,2.63,2.64
PRECTOTCORR,2006,40.5,-90,2.29,0.41,2.63,3.78,1.73,1.84,2.99,3.02,2.15,2.01,3.23,1.95,2.35
PRECTOTCORR,2006,41,-88.125,1.9,0.79,2.37,3.81,3.14,1.98,4.06,3.67,3.62,3,2.67,2.8,2.83
PRECTOTCORR,2006,41,-88.75,2.22,0.73,2.4,4.1,2.18,2.01,3.32,3.91,2.89,2.45,3.03,2.33,2.64
PRECTOTCORR,2006,41,-89.375,2.17,0.73,2.32,3.92,2.25,1.99,3.25,3.86,3.12,2.49,2.95,2.29,2.62
PRECTOTCORR,2006,41,-90,2.41,0.6,2.65,4.08,1.69,1.91,2.63,3.64,2.18,1.99,3.03,1.99,2.41
PRECTOTCORR,2007,39.5,-88.125,3.37,2.15,2.34,2.66,1.75,4.31,2.61,2.22,1.99,3.69,2,2.83,2.66
PRECTOTCORR,2007,39.5,-88.75,3.12,2.07,2.2,2.56,1.95,4.17,2.4,1.97,1.78,3.47,1.98,2.66,2.53
PRECTOTCORR,2007,39.5,-89.375,2.74,1.98,2.17,2.47,2.38,3.64,1.96,1.82,1.38,3.11,1.92,2.68,2.36
PRECTOTCORR,2007,39.5,-90,2.34,2.05,2.18,2.26,2.71,3.43,1.58,1.65,1.28,2.53,1.71,3.04,2.23
PRECTOTCORR,2007,40,-88.125,2.81,2.01,2.92,2.6,1.52,3.97,2.86,2.62,1.85,3.48,2.45,2.94,2.67
PRECTOTCORR,2007,40,-88.75,2.28,2.06,2.77,2.64,2.24,3.58,2.29,1.93,1.41,3.02,1.91,3.06,2.44
PRECTOTCORR,2007,40,-89.375,2.23,2.07,2.76,2.56,2.25,3.57,2.25,1.96,1.37,2.92,1.89,3.12,2.42
PRECTOTCORR,2007,40,-90,1.95,2.15,2.65,2.33,2.29,3.48,1.95,2,1.26,2.34,1.61,3.4,2.29
PRECTOTCORR,2007,40.5,-88.125,2.35,1.91,3.88,2.75,1.51,3.5,3.47,4.31,1.36,3.13,2.34,3.29,2.83
PRECTOTCORR,2007,40.5,-88.75,2.09,2.17,4.01,2.71,1.87,3.36,2.97,3.37,1.25,2.68,1.69,3.14,2.62
PRECTOTCORR,2007,40.5,-89.375,2.05,2.04,4.16,2.61,1.74,3.45,3.2,3.5,1.21,2.91,1.89,3.27,2.68
PRECTOTCORR,2007,40.5,-90,1.75,2.14,3.54,2.7,1.89,3.3,2.63,3.01,1.22,1.92,1.28,3.07,2.38
PRECTOTCORR,2007,41,-88.125,2.04,1.75,3.94,3,1.47,3.08,3.84,6.79,1.01,2.64,1.78,3.22,2.9
PRECTOTCORR,2007,41,-88.75,1.81,1.95,4.21,2.77,1.62,3.11,4.13,5.8,0.91,2.26,1.36,2.86,2.75
PRECTOTCORR,2007,41,-89.375,1.81,1.89,4.25,2.81,1.63,3.04,4.04,6.11,0.96,2.35,1.31,2.91,2.77
PRECTOTCORR,2007,41,-90,1.58,2.06,3.92,2.9,1.7,3.2,3.7,4.96,0.95,1.64,1.05,2.55,2.53
PRECTOTCORR,2008,39.5,-88.125,2.06,4.28,5.06,2.46,4.27,7.42,5.97,1.33,5.61,2.24,1.56,4.32,3.88
PRECTOTCORR,2008,39.5,-88.75,2.13,4.34,4.86,2.54,4.32,6.36,6.11,1.57,6.36,2.33,1.42,4.31,3.88
PRECTOTCORR,2008,39.5,-89.375,2.36,4.27,4.51,2.73,4.95,5.35,5.71,1.73,7.37,1.93,1.16,4.06,3.84
PRECTOTCORR,2008,39.5,-90,2.47,3.97,4.11,3.04,5.06,5.08,6.04,2.09,8.01,1.5,1.02,3.57,3.82
PRECTOTCORR,2008,40,-88.125,2.6,4.32,3.32,2.13,4.46,6.8,5.7,1.07,7.05,2.14,1.16,4.09,3.73
PRECTOTCORR,2008,40,-88.75,2.98,4.05,2.78,2.39,4.35,5.86,6.13,1.47,8.3,2.02,0.98,3.66,3.74
PRECTOTCORR,2008,40,-89.375,2.94,4.01,2.75,2.45,4.29,5.78,5.97,1.57,8.29,1.96,0.96,3.57,3.7
PRECTOTCORR,2008,40,-90,2.64,3.68,2.59,2.85,3.81,5.75,5.42,2.17,8.15,1.71,0.91,3.12,3.56
PRECTOTCORR,2008,40.5,-88.125,3.18,3.85,2.28,1.96,4.36,5.03,4.81,1.19,7.92,2.18,0.99,3.7,3.45
PRECTOTCORR,2008,40.5,-88.75,2.96,3.49,2.01,2.3,3.96,4.83,5.11,1.36,8.83,2.17,1.05,3.35,3.44
PRECTOTCORR,2008,40.5,-89.375,3.13,3.55,2.03,2.16,4.15,4.81,4.88,1.28,8.75,2.24,0.96,3.37,3.43
PRECTOTCORR,2008,40.5,-90,2.22,3.25,1.82,2.81,3.28,5.29,4.19,1.89,8.33,1.86,1,3.03,3.24
PRECTOTCORR,2008,41,-88.125,3.19,3.3,1.76,2.02,3.8,3.83,4.26,1.51,8.73,2.13,0.96,3.63,3.25
PRECTOTCORR,2008,41,-88.75,2.46,3.13,1.61,2.4,3.8,3.66,4.72,1.4,8.81,2.06,1.09,3.4,3.2
PRECTOTCORR,2008,41,-89.375,2.59,3.02,1.61,2.33,3.63,3.55,4.51,1.45,8.94,2.07,1.06,3.37,3.17
PRECTOTCORR,2008,41,-90,1.69,2.99,1.51,2.96,3.66,4.43,3.88,1.54,8.53,1.8,1.12,3.22,3.1
PRECTOTCORR,2009,39.5,-88.125,0.86,2.7,2.17,6.23,5.08,4.79,3.51,2.93,1.25,7.13,2.87,3.79,3.61
PRECTOTCORR,2009,39.5,-88.75,0.75,2.58,2.29,6.09,4.95,4.64,3.45,2.93,1.35,7.8,3,3.83,3.65
PRECTOTCORR,2009,39.5,-89.375,0.61,2.19,2.52,5.47,4.68,4.61,3.52,3.02,1.89,8.52,3.01,3.69,3.66
PRECTOTCORR,2009,39.5,-90,0.46,1.88,2.68,4.95,4.41,4.46,3.61,3.4,2.56,8.75,3.22,3.45,3.67
PRECTOTCORR,2009,40,-88.125,0.6,2.17,2.73,5.65,4.51,4.54,3.72,3.95,1.16,6.99,3.01,3.26,3.53
PRECTOTCORR,2009,40,-88.75,0.53,1.97,3.17,5.43,4.53,4.85,3.64,3.57,2.04,8.15,3.19,3.33,3.71
PRECTOTCORR,2009,40,-89.375,0.5,1.93,3.19,5.39,4.48,4.82,3.67,3.71,2.13,8.13,3.17,3.32,3.72
PRECTOTCORR,2009,40,-90,0.4,1.81,3.46,5.31,4.37,4.8,3.63,4.32,2.47,7.74,3.11,3.2,3.73
PRECTOTCORR,2009,40.5,-88.125,0.49,2.22,3.59,5.26,3.92,3.85,3.56,4.17,1.16,6.8,2.43,2.88,3.37
PRECTOTCORR,2009,40.5,-88.75,0.5,2.05,4.24,5.59,4.27,4.33,3.7,3.95,1.89,7.06,2.65,3.13,3.63
PRECTOTCORR,2009,40.5,-89.375,0.45,2.11,3.91,5.52,4.06,4.2,3.67,4.27,1.61,7.3,2.59,3.07,3.58
PRECTOTCORR,2009,40.5,-90,0.42,1.87,4.63,5.62,4.63,5.07,3.83,4.7,2.03,6.45,2.64,2.96,3.75
PRECTOTCORR,2009,41,-88.125,0.54,2.45,4.32,4.95,3.81,3.69,3.15,3.98,1.16,6.39,1.82,2.71,3.26
PRECTOTCORR,2009,41,-88.75,0.53,2.18,4.71,5.19,4.17,3.99,3.77,4.1,1.47,6.12,1.89,3.04,3.44
PRECTOTCORR,2009,41,-89.375,0.52,2.28,4.71,5.16,4.19,3.88,3.61,4,1.47,6.21,1.88,3.03,3.42
PRECTOTCORR,2009,41,-90,0.51,2.02,5.09,5.16,4.53,4.84,4.14,4.45,1.69,5.45,1.91,2.83,3.57
PRECTOTCORR,2010,39.5,-88.125,1.27,1.45,2.2,2.77,3.82,7.34,4.56,1.51,3.36,0.65,3.72,1.58,2.85
PRECTOTCORR,2010,39.5,-88.75,1.25,1.56,2.12,2.76,3.66,7.42,4.7,1.95,4.03,0.65,3.74,1.48,2.94
PRECTOTCORR,2010,39.5,-89.375,1.18,1.78,2.03,2.95,4.3,7.22,5.05,2.64,4.47,0.69,3.54,1.25,3.09
PRECTOTCORR,2010,39.5,-90,1.24,1.89,2.06,3.2,4.96,6.45,5.67,3.19,4.45,0.84,2.85,1.38,3.18
PRECTOTCORR,2010,40,-88.125,1.12,1.49,2.3,2.24,3.99,7.36,3.58,1.6,3.3,0.89,3,1.71,2.71
PRECTOTCORR,2010,40,-88.75,1.2,1.75,2.18,2.65,4.53,7.67,4.14,2.64,4.39,1.1,2.45,1.61,3.02
PRECTOTCORR,2010,40,-89.375,1.21,1.76,2.16,2.73,4.69,7.56,4.33,2.78,4.39,1.11,2.37,1.61,3.06
PRECTOTCORR,2010,40,-90,1.32,1.79,2.08,3.28,5.47,7.23,5.48,3.46,4.25,1.25,1.81,1.75,3.27
PRECTOTCORR,2010,40.5,-88.125,0.99,1.41,2.3,2.12,4.23,7.15,2.68,1.87,3.06,1.11,2.36,2.02,2.61
PRECTOTCORR,2010,40.5,-88.75,1.16,1.54,2.24,2.43,4.82,7.02,3.04,2.51,3.53,1.35,1.94,2.42,2.83
PRECTOTCORR,2010,40.5,-89.375,1.12,1.54,2.22,2.41,4.56,7.05,2.95,2.54,3.59,1.32,1.91,2.17,2.78
PRECTOTCORR,2010,40.5,-90,1.4,1.54,2.25,3.12,5.9,7.48,4.65,3.79,3.79,1.45,1.3,2.03,3.23
PRECTOTCORR,2010,41,-88.125,0.89,1.27,2.12,2.2,4.47,6.96,2.89,2.08,2.79,1.15,1.98,2.19,2.58
PRECTOTCORR,2010,41,-88.75,1,1.27,2.13,2.26,4.76,6.85,2.59,2.54,2.92,1.34,1.72,2.51,2.66
PRECTOTCORR,2010,41,-89.375,1,1.31,2.14,2.33,4.75,6.88,2.72,2.55,2.99,1.32,1.66,2.56,2.69
PRECTOTCORR,2010,41,-90,1.26,1.19,2.3,2.99,5.59,7.42,3.36,3.59,3.07,1.43,1.36,2.15,2.98
PRECTOTCORR,2011,39.5,-88.125,1.36,3.67,2.22,8.05,3.58,5.47,2.08,0.66,2.28,2.27,5.08,2.86,3.27
PRECTOTCORR,2011,39.5,-88.75,1.21,3.35,1.98,7.35,3.46,5.93,2,0.57,2.14,1.97,4.61,2.59,3.07
PRECTOTCORR,2011,39.5,-89.375,1,2.97,1.77,6.27,3.61,6.46,2.05,0.57,1.99,1.47,4.04,2.35,2.86
PRECTOTCORR,2011,39.5,-90,0.89,2.73,1.77,5.18,3.58,7.03,1.85,0.69,1.92,1.08,3.77,2.41,2.72
PRECTOTCORR,2011,40,-88.125,1.1,3.14,1.78,6.68,4.06,4.33,1.59,0.93,2.34,1.84,4.26,2.59,2.87
PRECTOTCORR,2011,40,-88.75,0.84,2.66,1.43,5.12,3.81,5.04,1.76,0.58,2,1.25,3.42,2.36,2.51
PRECTOTCORR,2011,40,-89.375,0.84,2.62,1.43,5.07,3.82,5.3,1.77,0.58,1.99,1.18,3.43,2.36,2.52
PRECTOTCORR,2011,40,-90,0.77,2.52,1.41,4.67,3.8,6.68,1.76,0.55,1.87,0.86,3.64,2.42,2.56
PRECTOTCORR,2011,40.5,-88.125,0.96,2.72,1.62,5.86,4.33,3.85,1.92,1.59,2.84,1.55,3.44,2.57,2.76
PRECTOTCORR,2011,40.5,-88.75,0.76,2.71,1.42,5.17,4.38,4.57,2.32,1.29,2.74,1.13,3.58,2.57,2.71
PRECTOTCORR,2011,40.5,-89.375,0.87,2.59,1.44,5.23,4.4,4.37,2.15,1.33,2.73,1.24,3.31,2.59,2.67
PRECTOTCORR,2011,40.5,-90,0.62,2.44,1.17,4.67,4.41,5.7,1.94,0.86,2.36,0.72,3.9,2.53,2.59
PRECTOTCORR,2011,41,-88.125,0.87,2.62,1.59,5.38,4.54,4.13,2.28,2.47,3.22,1.42,3.1,2.47,2.83
PRECTOTCORR,2011,41,-88.75,0.72,2.68,1.39,4.87,4.76,4.28,2.57,2.38,3.21,1.1,3.59,2.43,2.82
PRECTOTCORR,2011,41,-89.375,0.73,2.71,1.4,4.89,4.65,4.37,2.43,2.35,3.21,1.08,3.46,2.45,2.8
